record_id,activitywindow_date_id,source_id,country,value,isOriginal,threshold
,1475,76,SSD,0,1,1
,1475,76,BRB,0,1,1
,1475,76,SYC,0,1,1
,1475,76,GRD,0,1,1
,1475,76,LVA,0,1,1
,1475,76,TLS,1,1,1
,1475,76,LBY,1,1,1
,1475,76,NPL,0,1,1
,1475,76,LKA,0,1,1
,1475,76,VNM,0,1,1
,1475,76,BHR,0,1,1
,1475,76,TWN,0,1,1
,1475,76,BLZ,0,1,1
,1475,76,LAO,0,1,1
,1475,76,AIA,0,1,1
,1475,76,GRC,0,1,1
,1475,76,BGD,0,1,1
,1475,76,EST,0,1,1
,1475,76,THA,0,1,1
,1475,76,MLT,0,1,1
,1475,76,PYF,0,1,1
,1475,76,CYP,1,1,1
,1475,76,GMB,1,1,1
,1475,76,WSM,0,1,1
,1475,76,CYM,0,1,1
,1475,76,MMR,0,1,1
,1475,76,DMA,0,1,1
,1475,76,MRT,0,1,1
,1475,76,DJI,0,1,1
,1475,76,COM,0,1,1
,1475,76,ISL,0,1,1
,1475,76,MNP,0,1,1
,1475,76,SOM,0,1,1
,1475,76,ALB,0,1,1
,1475,76,MDV,0,1,1
,1475,76,BTN,0,1,1
,1475,76,BRN,0,1,1
,1475,76,MKD,0,1,1
,1475,76,NU2,0,1,1
,1475,76,MAC,0,1,1
,1475,76,GLP,0,1,1
,1475,76,PSE,0,1,1
,1475,76,MNE,0,1,1
,1475,76,SVN,0,1,1
,1475,76,KGZ,0,1,1
,2372,76,GGG,11569,1,1
,2372,76,BRA,6920,1,1
,2372,76,COL,331,1,1
,2372,76,MEX,333,1,1
,2372,76,USA,519,1,1
,2372,76,VEN,370,1,1
,2372,76,PER,90,1,1
,2372,76,ECU,150,1,1
,2372,76,AGO,388,1,1
,2372,76,NGA,110,1,1
,2372,76,MOZ,200,1,1
,2372,76,CHL,58,1,1
,2372,76,GTM,78,1,1
,2372,76,EGY,119,1,1
,2372,76,RUS,212,1,1
,2372,76,GBR,70,1,1
,2372,76,HND,44,1,1
,2372,76,CRI,38,1,1
,2372,76,MAR,44,1,1
,2372,76,PAN,27,1,1
,2372,76,PRT,51,1,1
,2372,76,CIV,75,1,1
,2372,76,ZAF,24,1,1
,2372,76,COD,96,1,1
,2372,76,CMR,57,1,1
,2372,76,DZA,52,1,1
,2372,76,NIC,28,1,1
,2372,76,FRA,43,1,1
,2372,76,CAN,50,1,1
,2372,76,BEN,57,1,1
,2372,76,UGA,23,1,1
,2372,76,GHA,15,1,1
,2372,76,YEM,96,1,1
,2372,76,PRI,14,1,1
,2372,76,LBN,52,1,1
,2372,76,KEN,19,1,1
,2372,76,PNG,5,1,1
,2372,76,DEU,28,1,1
,2372,76,ESP,8,1,1
,2372,76,ARG,14,1,1
,2372,76,JOR,27,1,1
,2372,76,ETH,15,1,1
,2372,76,GAB,23,1,1
,2372,76,ZMB,6,1,1
,2372,76,AUS,23,1,1
,2372,76,HTI,46,1,1
,2372,76,MDG,30,1,1
,2372,76,CPV,20,1,1
,2372,76,UKR,40,1,1
,2372,76,BWA,4,1,1
,2372,76,COG,19,1,1
,2372,76,IND,10,1,1
,2372,76,PHL,21,1,1
,2372,76,TGO,34,1,1
,2372,76,BFA,18,1,1
,2372,76,PAK,7,1,1
,2372,76,GNQ,9,1,1
,2372,76,ZWE,2,1,1
,2372,76,CHE,13,1,1
,2372,76,TUN,16,1,1
,2372,76,SEN,16,1,1
,2372,76,BEL,11,1,1
,2372,76,BDI,13,1,1
,2372,76,URY,1,1,1
,2372,76,IRQ,12,1,1
,2372,76,BLR,24,1,1
,2372,76,JPN,18,1,1
,2372,76,ITA,8,1,1
,2372,76,NZL,6,1,1
,2372,76,NLD,11,1,1
,2372,76,MWI,2,1,1
,2372,76,GIN,17,1,1
,2372,76,TCD,11,1,1
,2372,76,SWZ,2,1,1
,2372,76,IRL,4,1,1
,2372,76,PRY,7,1,1
,2372,76,CAF,9,1,1
,2372,76,LBR,1,1,1
,2372,76,MLI,10,1,1
,2372,76,SGP,5,1,1
,2372,76,LUX,7,1,1
,2372,76,CUB,2,1,1
,2372,76,DOM,4,1,1
,2372,76,NAM,1,1,1
,2372,76,RWA,7,1,1
,2372,76,AUT,0,1,1
,2372,76,SLV,4,1,1
,2372,76,SWE,4,1,1
,2372,76,TUR,5,1,1
,2372,76,TTO,0,1,1
,2372,76,BOL,0,1,1
,2372,76,MYS,3,1,1
,2372,76,CUW,2,1,1
,2372,76,IDN,1,1,1
,2372,76,STP,4,1,1
,2372,76,ATG,0,1,1
,2372,76,MDA,5,1,1
,2372,76,GNB,3,1,1
,2372,76,HKG,3,1,1
,2372,76,NOR,1,1,1
,2372,76,LCA,0,1,1
,2372,76,ROU,2,1,1
,2372,76,SDN,4,1,1
,2372,76,MUS,4,1,1
,2372,76,KOR,3,1,1
,2372,76,CHN,0,1,1
,2372,76,KWT,1,1,1
,2372,76,FIN,2,1,1
,2372,76,CZE,0,1,1
,2372,76,FJI,1,1,1
,2372,76,GUF,2,1,1
,2372,76,ISR,1,1,1
,2372,76,TZA,1,1,1
,2372,76,VUT,1,1,1
,2372,76,GUY,1,1,1
,2372,76,ARE,0,1,1
,2372,76,SAU,0,1,1
,2372,76,BHS,0,1,1
,2372,76,ABW,0,1,1
,2372,76,HUN,0,1,1
,2372,76,QAT,0,1,1
,2372,76,BGR,0,1,1
,2372,76,POL,0,1,1
,2372,76,KAZ,2,1,1
,2372,76,MTQ,1,1,1
,2372,76,SRB,0,1,1
,2372,76,GEO,0,1,1
,2372,76,JAM,0,1,1
,2372,76,DNK,0,1,1
,2372,76,GUM,0,1,1
,2372,76,LSO,0,1,1
,2372,76,SLE,0,1,1
,2372,76,SYR,1,1,1
,2372,76,OMN,2,1,1
,2372,76,HRV,1,1,1
,2372,76,SVK,1,1,1
,2372,76,NER,0,1,1
,2372,76,SSD,0,1,1
,2372,76,BRB,0,1,1
,2372,76,SYC,0,1,1
,2372,76,GRD,0,1,1
,2372,76,LVA,0,1,1
,2372,76,TLS,3,1,1
,2372,76,LBY,1,1,1
,2372,76,NPL,1,1,1
,2372,76,LKA,1,1,1
,2372,76,VNM,0,1,1
,2372,76,BHR,0,1,1
,2372,76,TWN,0,1,1
,2372,76,BLZ,0,1,1
,2372,76,LAO,0,1,1
,2372,76,AIA,0,1,1
,2372,76,GRC,1,1,1
,2372,76,BGD,1,1,1
,2372,76,EST,1,1,1
,2372,76,THA,0,1,1
,2372,76,MLT,0,1,1
,2372,76,PYF,0,1,1
